"Ukraine"	"New Zealand"	"0"
"Ukraine"	"Fiji"	"0"
"Ukraine"	"Papua New Guinea"	"0"
"Ukraine"	"Sao Tome and Principe"	"0"
"Ukraine"	"Marshall Islands"	"0"
"Ukraine"	"Cuba"	"0"
"Ukraine"	"Sudan"	"0"
"Ukraine"	"Gambia"	"0"
"Ukraine"	"Malaysia"	"1"
"Ukraine"	"Taiwan"	"0"
"Ukraine"	"Poland"	"1"
"Ukraine"	"Oman"	"0"
"Ukraine"	"Suriname"	"0"
"Ukraine"	"United Arab Emirates"	"0"
"Ukraine"	"Kenya"	"3"
"Ukraine"	"Argentina"	"0"
"Ukraine"	"Guinea-Bissau"	"0"
"Ukraine"	"Armenia"	"0"
"Ukraine"	"Uzbekistan"	"0"
"Ukraine"	"Bhutan"	"0"
"Ukraine"	"Senegal"	"3"
"Ukraine"	"Togo"	"0"
"Ukraine"	"Ireland"	"0"
"Ukraine"	"Falkland Islands"	"0"
"Ukraine"	"Iran"	"7"
"Ukraine"	"Qatar"	"3"
"Ukraine"	"Burundi"	"3"
"Ukraine"	"Iraq"	"4"
"Ukraine"	"Slovakia"	"0"
"Ukraine"	"Slovenia"	"0"
"Ukraine"	"Equatorial Guinea"	"0"
"Ukraine"	"Thailand"	"0"
"Ukraine"	"Sweden"	"3"
"Ukraine"	"Iceland"	"0"
"Ukraine"	"Macedonia"	"0"
"Ukraine"	"Belgium"	"8"
"Ukraine"	"Israel"	"3"
"Ukraine"	"Kuwait"	"0"
"Ukraine"	"Liechtenstein"	"0"
"Ukraine"	"Benin"	"0"
"Ukraine"	"Algeria"	"3"
"Ukraine"	"Italy"	"5"
"Ukraine"	"Swaziland"	"0"
"Ukraine"	"Tanzania"	"0"
"Ukraine"	"Pakistan"	"3"
"Ukraine"	"Burkina Faso"	"0"
"Ukraine"	"Panama"	"0"
"Ukraine"	"Singapore"	"0"
"Ukraine"	"Ukraine"	"35"
"Ukraine"	"Kyrgyzstan"	"0"
"Ukraine"	"Switzerland"	"7"
"Ukraine"	"Djibouti"	"0"
"Ukraine"	"Chile"	"0"
"Ukraine"	"China"	"3"
"Ukraine"	"North Korea"	"4"
"Ukraine"	"Mali"	"3"
"Ukraine"	"Botswana"	"0"
"Ukraine"	"Croatia"	"0"
"Ukraine"	"Cambodia"	"0"
"Ukraine"	"Indonesia"	"3"
