"fr_DZA_elwata_int" "2017-04-30 13:00:00" "Succès surprise du Front Polisario au Conseil de sécurité" " 
	Le Conseil de sécurité a adopté, vendredi soir, une résolution qui, en théorie, doit contribuer à relancer les négociations entre le Maroc et le Front Polisario, en vue de l’organisation d’un référendum d’autodétermination du peuple sahraoui. 
	On retiendra surtout que c’est un succès inattendu du Front Polisario, qui a manœuvré de main de maître pour aboutir à ce résultat, qui, en outre, donne un nouveau mandat d’une année à la Minurso. Pourtant, jusqu’à vendredi après-midi, on ne donnait pas cher de la peau des Sahraouis au point que les Marocains s’étaient mis à crier victoire avant même la réunion du Conseil.

	Tout a commencé il y a de cela quatre mois. Les Marocains sortent du mur dans lequel ils étaient confinés, conformément au cessez-le-feu dicté par l’ONU, et se mettent à bitumer un tronçon routier dans la zone de Guerguerat, proche de la frontière mauritano-sahraouie. Une provocation inacceptable pour les dirigeants de la RASD. Ils savent que chaque semaine 200 à 300 camions partent pour l’Afrique de l’Ouest, principalement pour le Sénégal.

	Officiellement, ils transportent de la marchandise licite. En réalité, les Marocains, dont le pays est devenu un narco-Etat principal producteur mondial de cannabis, se livraient à un intense trafic de drogue. Le Front Polisario dépêche une quinzaine de gendarmes dans la zone. Comme à son habitude, le palais royal se met à se lamenter, accusant entre autres l’Algérie d’être la cause de tous ses malheurs. La tension monte brusquement dans la région.

	Face au risque de dérapage, l’ONU demande au Maroc et au Front Polisario de retirer leurs forces de la zone. Rabat, traumatisé sans doute par les défaites des FAR face à l’ALPS durant les années 1970 et 1980, retire ses forces. Les Saharouis, estimant à juste titre qu’ils sont dans leur pays, refusent d’obtempérer.

	A partir de là, la machine va s’emballer. Le nouveau secrétaire général de l’ONU, le Portugais Guterres, fait un rapport de situation dans lequel il demande au Front Polisario de retirer ses gendarmes de la zone. Le Conseil de sécurité est convoqué. Les Etats-Unis soumettent un projet de résolution qui culpabilise les Sahraouis pour leur refus d’obtempérer. Le Maroc jubile. Le Sénégal, allié inconditionnel du palais royal depuis l’époque où Senghor était à sa tête, travaille en coulisses contre l’indépendance de la RASD. Il a une arrière-pensée. Il espère qu’un jour les Marocains s’empareront du nord de la Mauritanie et lui prendra le sud, parce que peuplé de Noirs, un grand rêve senghorien.

	Malheureusement pour tous ces apprentis colonialistes, les Sahraouis ont fait preuve d’une grande capacité manœuvrière. Quelques heures avant la réunion du Conseil de sécurité, ils annoncent le redéploiement de leurs gendarmes. Les Américains remanient leur texte et en font un document destiné à relancer les négociations entre les deux parties. Un processus au point mort jusque-là à cause des blocages marocains.

	Cette résolution, précise Michele Sison, la représentante de la délégation américaine, fixe de «nouvelles normes» pour la Minurso. «Nous ne nous laisserons pas dévier de notre objectif qui est de permettre au peuple du Sahara occidental d’organiser un référendum sur le statut futur de ce territoire.» Le rêve marocain tombe à l’eau.

	Il n’est plus question de l’intransigeance du Front polisario dans le texte,  adopté à l’unanimité par 15 membres du Conseil. «Les dirigeants sahraouis ont fait preuve d’une grande lucidité et d’un haut sens de la responsabilité, puisque pendant des mois la tension était montée dans la zone de Guerguerat», nous a déclaré Ramtane Lamamra, le ministre des Affaires étrangères.

