G8	Group of Eight
G8	Grupo de los ocho
G8	Groupe des huit
UN	United Nations
UN	Organisation des Nations unies
UN	Organización de las Naciones Unidas
NATO	North Atlantic Treaty Organization
NATO	Organización del Tratado del Atlántico Norte
NATO	Organisation du Traité de l'Atlantique Nord
EU	European Union
EU	Unión Europea
EU	Union européenne
OAS	Organization of American States
OAS	Organización de los Estados Americanos
OAS	Organisation des États Américains
ASEAN	Association of South-East Asian Nations
ASEAN	Asociación de Naciones del Sudeste Asiático
ASEAN	Association des nations de l'Asie du Sud-Est
LAS	League of Arab States
LAS	Liga de Estados Árabes
LAS	Ligue des États arabes
AU	African Union
AU	Unión Africana
AU	Union africaine
WTO	World Trade Organization
WTO	Organización Mundial del Comercio
WTO	Organisation mondiale du commerce
OECD	Organization for Economic Co-operation and Development
OECD	Organización para la Cooperación y el Desarrollo Económicos
OECD	Organisation de coopération et de développement economiques
FTAA	Free Trade Area of the Americas
FTAA	Área de Libre Comercio de las Américas
FTAA	Zone de libre-échange des Amériques
OPEC	Organization of the Petroleum Exporting Countries
OPEC	Organización de Países Exportadores de Petróleo
OPEC	Organisation des pays exportateurs de pétrole
APEC	Asia-Pacific Economic Co-operation
APEC	Foro de Cooperación Económica Asia-Pacífico
APEC	Coopération économique pour l'Asie-Pacifique
ECOWAS	Economic Community of West African States
ECOWAS	Comunidad Económica de Estados de África Occidental
ECOWAS	Commuauté Économique des États de l'Afrique de l'Ouest
SADC	Southern African Development Community
SADC	Comunidad de Desarrollo de África Austral
SADC	Communauté de développement d'Afrique australe
ECCAS	Economic Community of Central African States
ECCAS	Comunidad Económica de Estados de África Central
ECCAS	Communauté Économique des États d'Afrique Centrale
