"China Daily"	"English"	"France"	"Cuba"	"3"
"China Daily"	"English"	"France"	"Argentina"	"1"
"China Daily"	"English"	"France"	"Iran"	"1"
"China Daily"	"English"	"France"	"Iraq"	"6"
"China Daily"	"English"	"France"	"Belgium"	"1"
"China Daily"	"English"	"France"	"Israel"	"2"
"China Daily"	"English"	"France"	"Kuwait"	"2"
"China Daily"	"English"	"France"	"Italy"	"6"
"China Daily"	"English"	"France"	"Pakistan"	"1"
"China Daily"	"English"	"France"	"Ukraine"	"3"
"China Daily"	"English"	"France"	"China"	"63"
"China Daily"	"English"	"France"	"Australia"	"1"
"China Daily"	"English"	"France"	"Syria"	"3"
"China Daily"	"English"	"France"	"Greece"	"2"
"China Daily"	"English"	"France"	"Yemen"	"2"
"China Daily"	"English"	"France"	"United Kingdom"	"6"
"China Daily"	"English"	"France"	"United States of America"	"12"
"China Daily"	"English"	"France"	"Lebanon"	"1"
"China Daily"	"English"	"France"	"Canada"	"1"
"China Daily"	"English"	"France"	"India"	"2"
"China Daily"	"English"	"France"	"Saudi Arabia"	"1"
"China Daily"	"English"	"France"	"Japan"	"2"
"China Daily"	"English"	"France"	"Tunisia"	"2"
"China Daily"	"English"	"France"	"Turkey"	"2"
"China Daily"	"English"	"France"	"Germany"	"14"
"China Daily"	"English"	"France"	"Egypt"	"1"
