"Daily Telegraph"	"English"	"United States of America"	"Marshall Islands"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Cuba"	"53"
"Daily Telegraph"	"English"	"United States of America"	"Sudan"	"2"
"Daily Telegraph"	"English"	"United States of America"	"Malaysia"	"8"
"Daily Telegraph"	"English"	"United States of America"	"Poland"	"8"
"Daily Telegraph"	"English"	"United States of America"	"United Arab Emirates"	"4"
"Daily Telegraph"	"English"	"United States of America"	"Kenya"	"3"
"Daily Telegraph"	"English"	"United States of America"	"Argentina"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Ireland"	"4"
"Daily Telegraph"	"English"	"United States of America"	"Iran"	"58"
"Daily Telegraph"	"English"	"United States of America"	"Qatar"	"3"
"Daily Telegraph"	"English"	"United States of America"	"Iraq"	"81"
"Daily Telegraph"	"English"	"United States of America"	"Sweden"	"2"
"Daily Telegraph"	"English"	"United States of America"	"Belgium"	"2"
"Daily Telegraph"	"English"	"United States of America"	"Israel"	"38"
"Daily Telegraph"	"English"	"United States of America"	"Kuwait"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Algeria"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Italy"	"10"
"Daily Telegraph"	"English"	"United States of America"	"Pakistan"	"3"
"Daily Telegraph"	"English"	"United States of America"	"Ukraine"	"84"
"Daily Telegraph"	"English"	"United States of America"	"Switzerland"	"6"
"Daily Telegraph"	"English"	"United States of America"	"China"	"36"
"Daily Telegraph"	"English"	"United States of America"	"North Korea"	"48"
"Daily Telegraph"	"English"	"United States of America"	"Mali"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Indonesia"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Bangladesh"	"2"
"Daily Telegraph"	"English"	"United States of America"	"Australia"	"4"
"Daily Telegraph"	"English"	"United States of America"	"Austria"	"7"
"Daily Telegraph"	"English"	"United States of America"	"Zimbabwe"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Syria"	"71"
"Daily Telegraph"	"English"	"United States of America"	"Czech Republic"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Myanmar"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Haiti"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Yemen"	"8"
"Daily Telegraph"	"English"	"United States of America"	"Afghanistan"	"28"
"Daily Telegraph"	"English"	"United States of America"	"Nepal"	"5"
"Daily Telegraph"	"English"	"United States of America"	"United Kingdom"	"110"
"Daily Telegraph"	"English"	"United States of America"	"France"	"32"
"Daily Telegraph"	"English"	"United States of America"	"Namibia"	"2"
"Daily Telegraph"	"English"	"United States of America"	"Vatican"	"11"
"Daily Telegraph"	"English"	"United States of America"	"Sierra Leone"	"5"
"Daily Telegraph"	"English"	"United States of America"	"Georgia"	"2"
"Daily Telegraph"	"English"	"United States of America"	"Belize"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Philippines"	"2"
"Daily Telegraph"	"English"	"United States of America"	"Uruguay"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Colombia"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Spain"	"4"
"Daily Telegraph"	"English"	"United States of America"	"South Korea"	"17"
"Daily Telegraph"	"English"	"United States of America"	"Somalia"	"9"
"Daily Telegraph"	"English"	"United States of America"	"Venezuela"	"3"
"Daily Telegraph"	"English"	"United States of America"	"Liberia"	"9"
"Daily Telegraph"	"English"	"United States of America"	"Maldives"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Libya"	"9"
"Daily Telegraph"	"English"	"United States of America"	"Hong Kong"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Nigeria"	"8"
"Daily Telegraph"	"English"	"United States of America"	"Jordan"	"2"
"Daily Telegraph"	"English"	"United States of America"	"Canada"	"6"
"Daily Telegraph"	"English"	"United States of America"	"India"	"18"
"Daily Telegraph"	"English"	"United States of America"	"Mexico"	"5"
"Daily Telegraph"	"English"	"United States of America"	"Kazakhstan"	"1"
"Daily Telegraph"	"English"	"United States of America"	"Saudi Arabia"	"2"
"Daily Telegraph"	"English"	"United States of America"	"Japan"	"16"
"Daily Telegraph"	"English"	"United States of America"	"Turkey"	"8"
"Daily Telegraph"	"English"	"United States of America"	"Germany"	"27"
"Daily Telegraph"	"English"	"United States of America"	"Egypt"	"6"
"Daily Telegraph"	"English"	"United States of America"	"Jamaica"	"1"
"Daily Telegraph"	"English"	"United States of America"	"South Africa"	"5"
"Daily Telegraph"	"English"	"United States of America"	"Honduras"	"1"
